592115017	93	1	115A018	01	0	2	94                          	3                           	短篇故事教學	
592115017	93	1	115A037	01	0	2	86                          	3                           	英語戲劇教學與演出	
592115017	93	1	115A038	01	0	2	84                          	3                           	ESL/EFL課室教學議題	
592115019	93	1	115A018	01	0	2	91                          	3                           	短篇故事教學	
592115019	93	1	115A038	01	0	2	80                          	3                           	ESL/EFL課室教學議題	
592115019	93	1	115A040	01	0	2	89                          	3                           	英語語法	
592235001	93	1	235A005	01	0	1	85                          	3                           	應用數值分析	
592235001	93	1	235A006	01	0	1	83                          	3                           	震波測勘學	
592235001	93	1	235A012	01	0	1	85                          	3                           	碩士論文(二)	
592235002	93	1	235A005	01	0	1	75                          	3                           	應用數值分析	
592235002	93	1	235A006	01	0	1	81                          	3                           	震波測勘學	
592235002	93	1	235A011	01	0	1	80                          	3                           	碩士論文(一)	
592235003	93	1	235A005	01	0	1	89                          	3                           	應用數值分析	
592235003	93	1	235A006	01	0	1	87                          	3                           	震波測勘學	
592235003	93	1	235A011	01	0	1	80                          	3                           	碩士論文(一)	
592235003	93	1	235A012	01	0	1	85                          	3                           	碩士論文(二)	
592235005	93	1	235A005	01	0	1	80                          	3                           	應用數值分析	
592235005	93	1	235A006	01	0	1	72                          	3                           	震波測勘學	
592235006	93	1	235A005	01	0	1	84                          	3                           	應用數值分析	
592235006	93	1	235A006	01	0	1	75                          	3                           	震波測勘學	
592235007	93	1	235A005	01	0	1	83                          	3                           	應用數值分析	
592235007	93	1	235A006	01	0	1	82                          	3                           	震波測勘學	
592235007	93	1	235A011	01	0	1	80                          	3                           	碩士論文(一)	
592235008	93	1	235A005	01	0	1	86                          	3                           	應用數值分析	
592235008	93	1	235A006	01	0	1	71                          	3                           	震波測勘學	
592235009	93	1	235A005	01	0	1	86                          	3                           	應用數值分析	
592235009	93	1	235A006	01	0	1	90                          	3                           	震波測勘學	
592235010	93	1	235A005	01	0	1	86                          	3                           	應用數值分析	
592235010	93	1	235A006	01	0	1	77                          	3                           	震波測勘學	
592235010	93	1	235A011	01	0	1	80                          	3                           	碩士論文(一)	
592235010	93	1	235A012	01	0	1	85                          	3                           	碩士論文(二)	
592235011	93	1	235A005	01	0	1	79                          	3                           	應用數值分析	
592235011	93	1	235A011	01	0	1	80                          	3                           	碩士論文(一)	
592235013	93	1	235A005	01	0	1	83                          	3                           	應用數值分析	
592235013	93	1	235A006	01	0	1	86                          	3                           	震波測勘學	
592235013	93	1	235A011	01	0	1	80                          	3                           	碩士論文(一)	
592235014	93	1	235A005	01	0	1	72                          	3                           	應用數值分析	
592235014	93	1	235A011	01	0	1	80                          	3                           	碩士論文(一)	
592235015	93	1	235A005	01	0	1	90                          	3                           	應用數值分析	
592235015	93	1	235A006	01	0	1	90                          	3                           	震波測勘學	
